1983,9,Brad Baumberger,Wyoming,WAC,12,112,189,1551,8.2,7.6,10,7,138.2,185,534,2.9
1983,10,Randall Cunningham,Nevada-Las Vegas,PCAA,11,189,316,2545,8.1,8.1,18,8,141.2,106,133,1.3
1983,11,Frank Seurer,Kansas,Big 8,11,187,353,2789,7.9,6.3,14,19,121.7,57,-129,-2.3
1983,12,Doug Flutie,Boston College,Ind,11,177,345,2724,7.9,6.9,17,15,125.2,68,241,3.5
1983,13,Boomer Esiason,Maryland,ACC,10,163,294,2322,7.9,7.7,15,8,133.2,47,-32,-0.7
1983,14,Jeff Hostetler,West Virginia,Ind,11,163,286,2247,7.9,7.3,14,10,132.1,88,41,0.5
1984,1,John Dewberry,Georgia Tech,ACC,11,126,206,1846,9.0,7.8,11,10,144.4,98,329,3.4
1984,2,Don King,Southern Methodist,SWC,11,93,177,1598,9.0,8.4,8,6,136.5,119,421,3.5
1984,3,,Iowa,Big Ten,13,216,322,2871,8.9,8.5,22,13,156.4,91,-154,-1.7
1984,4,Bernie Kosar,Miami (FL),Ind,12,262,416,3642,8.8,8.2,25,16,148.7,52,-230,-4.4
1984,5,Kerwin Bell,Florida,SEC,11,98,184,1614,8.8,8.8,16,7,148.0,40,-5,-0.1
1984,6,Mark Stevens,Utah,WAC,12,117,216,1889,8.7,7.9,11,9,136.1,157,452,2.9
1984,7,,Boston College,Ind,12,246,423,3634,8.6,8.6,30,13,147.6,66,379,5.7
1984,8,Frank Reich,Maryland,ACC,9,108,169,1446,8.6,8.3,9,5,147.4,39,-140,-3.6
1984,9,Robbie Bosco,Brigham Young,WAC,12,283,458,3875,8.5,8.8,33,11,151.8,85,57,0.7
1984,10,Doug Gaynor,Long Beach State,PCAA,10,248,385,3230,8.4,7.2,16,17,139.8,93,13,0.1
1984,11,Steve Beuerlein,Notre Dame,Ind,10,140,232,1920,8.3,5.4,7,18,124.3,58,-75,-1.3
1984,12,Bob DeMarco,Central Michigan,MAC,11,98,173,1427,8.2,8.6,12,4,144.2,72,156,2.2
1984,13,,Nevada-Las Vegas,PCAA,13,225,360,2898,8.1,8.2,26,10,148.4,105,29,0.3
1984,14,,Ohio State,Big Ten,12,145,244,1952,8.0,6.8,10,11,131.1,44,-1,0.0
1985,1,Kerwin Bell,Florida,SEC,11,180,288,2687,9.3,9.5,21,8,159.4,54,-218,-4.0
1985,2,Vinny Testaverde,Miami (FL),Ind,11,216,352,3238,9.2,8.5,21,15,149.8,68,-158,-2.3
1985,3,Billy Rucker,New Mexico,WAC,11,134,268,2475,9.2,7.3,10,16,127.9,164,382,2.3
1985,4,Kevin Sweeney,Fresno State,PCAA,11,177,295,2604,8.8,8.7,14,7,145.1,78,40,0.5
1985,5,Mike Shula,Alabama,SEC,11,138,229,2009,8.8,8.6,16,8,150.0,52,28,0.5
1985,6,,Michigan,Big Ten,12,145,227,1976,8.7,9.1,18,6,157.9,79,139,1.8
1985,7,Chuck Long,Iowa,Big Ten,11,231,351,2978,8.5,8.0,26,15,153.0,40,-91,-2.3
1985,8,,UCLA,Pac-10,12,136,214,1819,8.5,7.3,10,10,141.0,54,54,1.0
1985,9,Robbie Bosco,Brigham Young,WAC,13,338,511,4273,8.4,7.4,30,24,146.4,67,-132,-2.0
1985,10,Sammy Garza,Texas-El Paso,WAC,11,120,200,1654,8.3,6.2,6,12,127.4,107,-48,-0.4
1985,11,Lee Saltz,Temple,Ind,11,107,229,1875,8.2,7.8,13,8,127.2,60,-1,0.0
1985,12,Jim Everett,Purdue,Big Ten,11,285,450,3651,8.1,8.0,23,11,143.5,68,-62,-0.9
1985,13,Todd Santos,San Diego State,WAC,12,226,357,2877,8.1,7.1,21,17,140.9,47,-111,-2.4
1985,14,John Dewberry,Georgia Tech,ACC,11,110,193,1557,8.1,7.2,10,8,133.6,106,78,0.7
1986,1,,Michigan,Big Ten,13,180,277,2729,9.9,8.8,10,11,151.7,94,118,1.3
1986,2,Vinny Testaverde,Miami (FL),Ind,11,175,276,2557,9.3,9.7,26,9,165.8,46,-103,-2.2
1986,3,Todd Ellis,South Carolina,Ind,11,205,340,3020,8.9,7.1,20,22,141.4,96,-45,-0.5
1986,4,Dave Yarema,Michigan State,Big Ten,11,200,297,2581,8.7,8.1,16,11,150.7,42,-222,-5.3
1986,5,Steve Beuerlein,Notre Dame,Ind,11,151,259,2211,8.5,8.3,13,7,141.2,53,35,0.7
1986,6,Lee Saltz,Temple,Ind,11,117,203,1729,8.5,8.1,12,7,141.8,85,-14,-0.2
1986,7,Jeff Francis,Tennessee,SEC,11,150,233,1946,8.4,8.0,9,6,142.1,38,-91,-2.4
1986,8,Kevin Sweeney,Fresno State,PCAA,11,160,284,2363,8.3,8.0,15,9,137.3,111,-186,-1.7
1986,9,Ed Blount,Washington State,Pac-10,11,117,227,1882,8.3,7.1,11,11,127.5,119,183,1.5
1986,10,Ned James,New Mexico,WAC,12,125,215,1777,8.3,7.9,14,8,141.6,150,527,3.5
1986,11,,Arizona State,Pac-10,12,160,269,2181,8.1,7.5,17,11,140.3,44,31,0.7
1986,12,Shawn Halloran,Boston College,Ind,11,159,258,2090,8.1,8.4,17,6,146.8,44,-40,-0.9
1986,13,James Jackson,Georgia,SEC,10,100,181,1475,8.1,7.7,9,6,133.5,108,410,3.8
1986,14,,Iowa,Big Ten,12,108,180,1456,8.1,8.1,11,5,142.6,18,-116,-6.4
1987,1,Don McPherson,Syracuse,Ind,11,129,229,2341,10.2,10.0,22,11,164.3,110,230,2.1
1987,2,Chuck Hartlieb,Iowa,Big Ten,12,196,299,2855,9.5,9.6,19,8,161.4,41,-138,-3.4
1987,3,,UCLA,Pac-10,12,178,273,2527,9.3,9.2,17,8,157.6,79,-87,-1.1
1987,4,Mike Power,Boston College,Ind,11,133,233,2071,8.9,8.0,10,9,138.2,102,-179,-1.8
1987,5,Eric Jones,Vanderbilt,SEC,11,139,229,1954,8.5,7.8,16,11,145.8,179,665,3.7
1987,6,,Southern California,Pac-10,12,197,332,2709,8.2,7.8,21,12,141.5,70,145,2.1
1987,7,,Indiana,Big Ten,12,121,207,1707,8.2,7.5,13,9,139.8,59,55,0.9
1987,8,Todd Santos,San Diego State,WAC,12,306,492,3932,8.0,7.7,26,15,140.7,70,-244,-3.5
1987,9,Terrence Jones,Tulane,Ind,11,192,319,2551,8.0,7.4,20,13,139.9,138,383,2.8
1987,10,Tommy Hodson,Louisiana State,SEC,11,162,265,2125,8.0,7.6,15,9,140.4,22,-22,-1.0
1987,11,,San Jose State,PCAA,12,269,447,3550,7.9,7.7,23,13,138.1,43,-51,-1.2
1987,12,Warren Jones,Hawaii,WAC,12,84,168,1326,7.9,6.5,4,7,115.8,87,193,2.2
1987,13,Scooter Molander,Colorado State,WAC,12,237,407,3168,7.8,6.6,16,18,127.7,72,-414,-5.8
1987,14,Scott Secules,Virginia,ACC,11,174,296,2311,7.8,7.4,12,8,132.3,57,45,0.8
1988,1,,West Virginia,Ind,12,105,186,1915,10.3,9.9,14,8,159.2,134,610,4.6
1988,2,,Washington State,Pac-10,12,218,338,3097,9.2,9.1,24,11,158.4,129,336,2.6
1988,3,Mike Gundy,Oklahoma State,Big 8,11,153,236,2163,9.2,8.5,19,12,158.2,58,-42,-0.7
1988,4,Todd Philcox,Syracuse,Ind,11,141,234,2076,8.9,8.1,16,11,147.9,73,1,0.0
1988,5,Warren Jones,Hawaii,WAC,12,138,259,2268,8.8,8.3,19,11,142.6,201,669,3.3
1988,6,Chip Ferguson,Florida State,Ind,11,122,194,1714,8.8,7.9,16,11,153.0,18,-8,-0.4
1988,7,Mark Kamphaus,Boston College,Ind,11,100,158,1323,8.4,6.7,7,9,136.9,23,-11,-0.5
1988,8,,Indiana,Big Ten,12,119,225,1877,8.3,6.5,9,13,124.6,83,307,3.7
1988,9,Sean Covey,Brigham Young,WAC,12,174,319,2607,8.2,7.6,13,10,130.4,68,-82,-1.2
1988,10,Scott Mitchell,Utah,WAC,11,323,533,4322,8.1,7.9,29,15,141.0,56,-23,-0.4
1988,11,Chuck Hartlieb,Iowa,Big Ten,12,258,409,3310,8.1,7.8,14,9,138.0,54,-240,-4.4
1988,12,Billy Joe Tolliver,Texas Tech,SWC,11,190,354,2869,8.1,7.8,20,11,134.2,55,-182,-3.3
1988,13,Tom Sullivan,Eastern Michigan,MAC,10,114,205,1664,8.1,5.8,5,13,119.2,61,-130,-2.1
1988,14,Steve Walsh,Miami (FL),Ind,11,233,390,3115,8.0,8.1,29,12,145.2,15,-33,-2.2
1989,1,Ty Detmer,Brigham Young,WAC,12,265,412,4560,11.1,11.0,32,15,175.6,85,-127,-1.5
1989,2,Bill Scharr,Syracuse,Ind,11,107,169,1625,9.6,8.6,9,8,152.2,67,-47,-0.7
1989,3,Shawn Moore,Virginia,ACC,11,125,221,2078,9.4,9.6,18,7,156.1,139,505,3.6
1989,4,Bret Oberg,Iowa State,Big 8,11,152,245,2242,9.2,8.2,9,9,143.7,110,273,2.5
1989,5,Peter Tom Willis,Florida State,Ind,11,211,346,3124,9.0,9.0,20,9,150.7,31,-120,-3.9
1989,6,,Ohio State,Big Ten,12,144,246,2132,8.7,8.3,13,8,142.3,51,-92,-1.8
1989,7,Dan Speltz,Cal State Fullerton,Big West,11,214,309,2671,8.6,8.3,20,11,156.1,67,-63,-0.9
1989,8,Garrett Gabriel,Hawaii,WAC,12,143,249,2145,8.6,8.0,17,11,143.5,103,246,2.4
1989,9,,Michigan State,Big Ten,12,153,240,2066,8.6,7.1,9,12,138.4,110,153,1.4
1989,10,Tommy Hodson,Louisiana State,SEC,11,183,317,2655,8.4,8.1,22,12,143.4,56,-51,-0.9
1989,11,,West Virginia,Ind,12,142,245,2058,8.4,7.8,17,11,142.4,155,936,6.0
1989,12,Aaron Garcia,Washington State,Pac-10,10,115,189,1591,8.4,7.0,11,11,139.1,52,8,0.2
1989,13,Dan McGwire,San Diego State,WAC,12,258,440,3651,8.3,7.1,16,19,131.7,64,-228,-3.6
1989,14,Paul Justin,Arizona State,Pac-10,11,183,314,2591,8.3,7.9,17,10,139.1,27,-131,-4.9
1990,1,Shawn Moore,Virginia,ACC,10,144,241,2262,9.4,9.6,21,8,160.7,94,306,3.3
1990,2,Ty Detmer,Brigham Young,WAC,12,361,562,5188,9.2,8.4,41,28,155.9,73,-166,-2.3
1990,3,Rick Mirer,Notre Dame,Ind,11,110,200,1824,9.1,8.6,8,6,138.8,98,198,2.0
1990,4,Casey Weldon,Florida State,Ind,11,112,182,1600,8.8,9.1,12,4,152.7,29,21,0.7
1990,5,Craig Erickson,Miami (FL),Ind,11,225,393,3363,8.6,8.9,22,7,144.0,46,26,0.6
1990,6,Garrett Gabriel,Hawaii,WAC,12,165,320,2752,8.6,7.9,25,16,139.6,92,120,1.3
1990,7,Marvin Graves,Syracuse,Ind,10,115,200,1711,8.6,7.0,9,11,133.2,115,155,1.3
1990,8,Dan McGwire,San Diego State,WAC,11,270,449,3833,8.5,9.0,27,7,148.6,35,-169,-4.8
1990,9,Tommy Maddox,UCLA,Pac-10,11,182,327,2682,8.2,7.3,17,14,133.1,90,148,1.6
1990,10,Browning Nagle,Louisville,Ind,11,146,263,2150,8.2,7.5,16,11,135.9,43,-50,-1.2
1990,11,Shawn Jones,Georgia Tech,ACC,11,142,245,2008,8.2,7.1,13,12,134.5,91,277,3.0
1990,12,Ralph Martini,San Jose State,Big West,12,204,362,2928,8.1,7.7,23,13,138.1,51,-5,-0.1
1990,13,Bobby Fuller,South Carolina,Ind,11,171,294,2372,8.1,7.6,13,9,134.4,57,-162,-2.8
1990,14,David Klingler,Houston,SWC,11,374,643,5140,8.0,8.3,54,20,146.8,61,81,1.3
1991,1,Ty Detmer,Brigham Young,WAC,12,249,403,4031,10.0,10.4,35,12,168.5,75,-30,-0.4
1991,2,Jeff Garcia,San Jose State,Big West,9,99,160,1519,9.5,9.6,12,5,160.1,46,147,3.2
